Dimension,Scenario,Method,N_Datasets,Is_Null,Power_Pct,FPR_Pct,MAE_Codons,Exact_Pct,Within_1Codon_Pct,Within_3Codon_Pct,Taxon_Accuracy_Pct,Runtime_ms
Dimension C: Tract Architecture,quad_mosaic,rhizaeon_embed_static,50,False,100.0,,0.8,50.0,82.0,96.0,100.0,82.88446580000976
Dimension C: Tract Architecture,quad_mosaic,rhizaeon_scalar,50,False,100.0,,0.64,50.0,90.0,100.0,100.0,65.85203414000596
Dimension C: Tract Architecture,quad_mosaic,three_seq,50,False,28.000000000000004,,0.6428571428571429,16.0,22.0,28.000000000000004,8.0,98.15494331999922
Dimension D: Topological Difficulty,subtle_intra_clade,rhizaeon_embed_contextual,50,False,8.0,,173.25,0.0,0.0,0.0,0.0,491.11098510000465
Dimension D: Topological Difficulty,subtle_intra_clade,rhizaeon_embed_static,50,False,6.0,,191.66666666666666,0.0,0.0,0.0,0.0,51.03133830000594
Dimension D: Topological Difficulty,subtle_intra_clade,rhizaeon_scalar,50,False,38.0,,141.68421052631578,0.0,0.0,4.0,4.0,38.59351999999783
Dimension D: Topological Difficulty,subtle_intra_clade,three_seq,50,False,32.0,,14.3125,4.0,6.0,10.0,2.0,98.42211831999172
Dimension C: Tract Architecture,tract_asymmetric_head,rhizaeon_embed_contextual,50,False,100.0,,4.04,10.0,36.0,60.0,98.0,975.8236533999992
Dimension C: Tract Architecture,tract_asymmetric_head,rhizaeon_embed_static,50,False,98.0,,4.63265306122449,14.000000000000002,40.0,60.0,96.0,165.8472124599947
Dimension C: Tract Architecture,tract_asymmetric_head,rhizaeon_scalar,50,False,100.0,,3.42,20.0,40.0,64.0,100.0,123.99021744000116
Dimension C: Tract Architecture,tract_asymmetric_head,three_seq,50,False,34.0,,3.0588235294117645,10.0,14.000000000000002,26.0,14.000000000000002,240.7858841600015
Dimension C: Tract Architecture,tract_asymmetric_tail,rhizaeon_embed_contextual,50,False,100.0,,4.54,18.0,42.0,64.0,100.0,495.5400367000026
Dimension C: Tract Architecture,tract_asymmetric_tail,rhizaeon_embed_static,50,False,98.0,,4.591836734693878,16.0,42.0,60.0,98.0,68.03800748000124
Dimension C: Tract Architecture,tract_asymmetric_tail,rhizaeon_scalar,50,False,100.0,,3.96,28.000000000000004,50.0,66.0,100.0,49.16154999999961
Dimension C: Tract Architecture,tract_asymmetric_tail,three_seq,50,False,28.000000000000004,,3.357142857142857,6.0,14.000000000000002,18.0,8.0,101.59666328000093
Dimension C: Tract Architecture,tract_micro_30,rhizaeon_embed_contextual,50,False,24.0,,76.0,2.0,2.0,2.0,18.0,456.23878923999615
Dimension C: Tract Architecture,tract_micro_30,rhizaeon_embed_static,50,False,20.0,,79.8,0.0,0.0,0.0,14.000000000000002,49.99898250000385
Dimension C: Tract Architecture,tract_micro_30,rhizaeon_scalar,50,False,24.0,,66.33333333333333,0.0,0.0,2.0,12.0,35.75169001999995
Dimension C: Tract Architecture,tract_micro_30,three_seq,50,False,60.0,,1.3666666666666667,14.000000000000002,46.0,57.99999999999999,50.0,92.72788918000232
Dimension C: Tract Architecture,tract_short_60,rhizaeon_embed_contextual,50,False,98.0,,5.469387755102041,18.0,30.0,40.0,98.0,467.5511067600024
Dimension C: Tract Architecture,tract_short_60,rhizaeon_embed_static,50,False,98.0,,5.6938775510204085,18.0,26.0,38.0,98.0,65.44277082000725
Dimension C: Tract Architecture,tract_short_60,rhizaeon_scalar,50,False,98.0,,4.775510204081633,18.0,32.0,48.0,98.0,50.5350934000004
Dimension C: Tract Architecture,tract_short_60,three_seq,50,False,54.0,,1.4444444444444444,20.0,38.0,46.0,32.0,93.3222042600012
Dimension C: Tract Architecture,triple_mosaic,rhizaeon_embed_contextual,50,False,100.0,,1.3,46.0,72.0,90.0,100.0,508.24679991999244
Dimension C: Tract Architecture,triple_mosaic,rhizaeon_embed_static,50,False,100.0,,1.3,44.0,72.0,92.0,100.0,77.44442911999133
Dimension C: Tract Architecture,triple_mosaic,rhizaeon_scalar,50,False,100.0,,1.04,46.0,76.0,94.0,100.0,61.49474422000427
Dimension C: Tract Architecture,triple_mosaic,three_seq,50,False,10.0,,5.2,2.0,2.0,2.0,0.0,100.51095255999645
