global_idx,scenario_id,category,rep_idx,seed,n_taxa,length_nt,theta,rho,beta,alpha,is_recombinant,num_true_trees,num_true_bps,segregating_sites,informative_sites,rhiz_detected,rhiz_num_bps,rhiz_bps,rhiz_time_ms,phi_p_val,phi_detected,maxchi_p_val,maxchi_detected,nss_p_val,nss_detected,phi_suite_time_ms,three_p_val,three_detected,three_time_ms,total_time_ms
70,power_n10_th5_rho4,power,20,20615131,10,1000,5.0,4.0,0.0,inf,True,14,13,20,15,False,0,,4.57,0.000928,True,0.118,False,0.0,True,19.58,1.0,False,32.24,66.65
71,power_n10_th5_rho4,power,21,20623050,10,1000,5.0,4.0,0.0,inf,True,14,13,20,15,False,0,,5.71,0.0738,False,0.308,False,0.223,False,19.04,1.0,False,31.56,66.34
72,power_n10_th5_rho4,power,22,20630969,10,1000,5.0,4.0,0.0,inf,True,9,8,8,3,False,0,,3.15,1.0,False,0.846,False,1.0,False,15.39,1.0,False,22.58,51.68
73,power_n10_th5_rho4,power,23,20638888,10,1000,5.0,4.0,0.0,inf,True,6,5,6,1,False,0,,3.3,1.0,False,1.0,False,1.0,False,16.76,1.0,False,31.54,62.03
74,power_n10_th5_rho4,power,24,20646807,10,1000,5.0,4.0,0.0,inf,True,13,12,10,6,False,0,,5.88,1.0,False,0.727,False,1.0,False,16.2,1.0,False,29.88,61.8
75,power_n10_th5_rho4,power,25,20654726,10,1000,5.0,4.0,0.0,inf,True,8,7,4,3,False,0,,3.58,1.0,False,1.0,False,0.664,False,15.82,1.0,False,21.49,51.49
76,power_n10_th5_rho4,power,26,20662645,10,1000,5.0,4.0,0.0,inf,True,6,5,11,7,False,0,,7.14,0.231,False,0.724,False,0.254,False,17.23,1.0,False,22.28,56.18
77,power_n10_th5_rho4,power,27,20670564,10,1000,5.0,4.0,0.0,inf,True,15,14,17,9,False,0,,5.36,1.0,False,0.495,False,1.0,False,18.84,1.0,False,21.34,56.18
78,power_n10_th5_rho4,power,28,20678483,10,1000,5.0,4.0,0.0,inf,True,9,8,11,9,False,0,,6.32,0.296,False,0.451,False,1.0,False,16.23,1.0,False,26.23,60.01
79,power_n10_th5_rho4,power,29,20686402,10,1000,5.0,4.0,0.0,inf,True,17,16,21,13,False,0,,5.18,0.209,False,0.42,False,0.306,False,20.54,1.0,False,30.03,65.45
80,power_n10_th5_rho4,power,30,20694321,10,1000,5.0,4.0,0.0,inf,True,14,13,24,17,False,0,,5.42,0.159,False,0.747,False,0.047,True,19.1,1.0,False,29.97,65.88
81,power_n10_th5_rho4,power,31,20702240,10,1000,5.0,4.0,0.0,inf,True,21,20,19,12,False,0,,5.57,0.00892,True,0.026,True,0.029,True,17.74,1.0,False,30.14,63.67
82,power_n10_th5_rho4,power,32,20710159,10,1000,5.0,4.0,0.0,inf,True,11,10,33,19,True,1,474,12.18,0.177,False,0.079,False,0.383,False,22.81,1.0,False,22.11,65.71
83,power_n10_th5_rho4,power,33,20718078,10,1000,5.0,4.0,0.0,inf,True,12,11,14,9,False,0,,6.46,0.00234,True,0.177,False,0.002,True,16.87,1.0,False,23.41,57.16
84,power_n10_th5_rho4,power,34,20725997,10,1000,5.0,4.0,0.0,inf,True,14,13,12,8,False,0,,4.73,1.0,False,0.333,False,1.0,False,16.93,1.0,False,22.76,54.23
85,power_n10_th5_rho4,power,35,20733916,10,1000,5.0,4.0,0.0,inf,True,9,8,8,4,False,0,,7.42,1.0,False,0.59,False,1.0,False,15.61,1.0,False,21.94,55.31
86,power_n10_th5_rho4,power,36,20741835,10,1000,5.0,4.0,0.0,inf,True,4,3,15,6,False,0,,5.41,1.0,False,0.131,False,1.0,False,18.76,1.0,False,23.68,57.91
87,power_n10_th5_rho4,power,37,20749754,10,1000,5.0,4.0,0.0,inf,True,20,19,26,9,False,0,,6.82,0.0262,True,0.713,False,0.012,True,21.61,1.0,False,32.48,71.56
88,power_n10_th5_rho4,power,38,20757673,10,1000,5.0,4.0,0.0,inf,True,10,9,11,9,False,0,,7.73,0.296,False,0.947,False,0.026,True,16.5,1.0,False,25.95,60.21
89,power_n10_th5_rho4,power,39,20765592,10,1000,5.0,4.0,0.0,inf,True,8,7,12,9,False,0,,2.55,1.0,False,0.084,False,1.0,False,16.48,1.0,False,24.41,53.2
90,power_n10_th5_rho4,power,40,20773511,10,1000,5.0,4.0,0.0,inf,True,7,6,25,23,False,0,,5.96,1.0,False,0.001,True,1.0,False,18.68,3.4021712e-05,True,33.7,68.46
91,power_n10_th5_rho4,power,41,20781430,10,1000,5.0,4.0,0.0,inf,True,3,2,7,3,False,0,,5.05,1.0,False,1.0,False,1.0,False,15.2,1.0,False,31.34,61.82
92,power_n10_th5_rho4,power,42,20789349,10,1000,5.0,4.0,0.0,inf,True,11,10,10,3,False,0,,4.66,1.0,False,0.999,False,1.0,False,14.52,1.0,False,31.25,60.58
93,power_n10_th5_rho4,power,43,20797268,10,1000,5.0,4.0,0.0,inf,True,14,13,31,16,False,0,,5.88,0.0366,True,0.063,False,0.027,True,23.41,1.0,False,22.56,61.86
94,power_n10_th5_rho4,power,44,20805187,10,1000,5.0,4.0,0.0,inf,True,13,12,17,4,False,0,,6.56,1.0,False,0.804,False,1.0,False,17.77,1.0,False,24.42,59.26
95,power_n10_th5_rho4,power,45,20813106,10,1000,5.0,4.0,0.0,inf,True,11,10,10,6,False,0,,3.73,1.0,False,0.818,False,1.0,False,16.47,1.0,False,23.99,54.76
96,power_n10_th5_rho4,power,46,20821025,10,1000,5.0,4.0,0.0,inf,True,7,6,17,11,False,0,,6.66,1.0,False,0.763,False,1.0,False,18.69,1.0,False,21.41,57.34
97,power_n10_th5_rho4,power,47,20828944,10,1000,5.0,4.0,0.0,inf,True,3,2,6,5,False,0,,3.24,1.0,False,1.0,False,1.0,False,16.06,1.0,False,30.08,59.48
98,power_n10_th5_rho4,power,48,20836863,10,1000,5.0,4.0,0.0,inf,True,4,3,4,4,False,0,,3.19,1.0,False,1.0,False,1.0,False,15.29,1.0,False,26.44,54.64
