genome_idx,true_bp_num,noise_lv,rh_ok,rh_pred_cand,m0,m1,m2,delta_1,delta_2,pred_bp_num,is_recombinant_true,is_recombinant_pred,correct_model,pred_bp1,ci1_left,ci1_right,pred_bp2,ci2_left,ci2_right,bp1_in_interval,bp2_in_interval,both_in_interval,spatial_err_bp1,spatial_err_bp2,mean_spatial_err_nt,runtime_ms
66,1,0,True,BA.2 + AY.45,46,84,83,38,-1,1,True,True,True,23058.0,23054.0,23061.0,,,,True,False,False,0.0,,0.0,1.97
67,1,0,True,BA.2 + AY.45,33,84,83,51,-1,1,True,True,True,22624.0,22577.0,22672.0,,,,True,False,False,0.0,,0.0,1.96
68,1,0,True,BA.2 + AY.45,74,84,83,10,-1,1,True,True,True,28071.0,27873.0,28269.0,,,,True,False,False,0.0,,0.0,1.99
69,1,0,True,BA.2 + AY.45,14,84,83,70,-1,1,True,True,True,10030.0,9865.0,10196.0,,,,True,False,False,0.0,,0.0,1.96
70,1,0,True,BA.2 + AY.45,37,84,83,47,-1,1,True,True,True,22730.0,22687.0,22773.0,,,,True,False,False,0.0,,0.0,1.92
71,1,0,True,BA.2 + AY.45,59,84,83,25,-1,1,True,True,True,25525.0,25468.0,25582.0,,,,True,False,False,0.0,,0.0,1.93
72,1,0,True,BA.2 + AY.45,7,84,83,77,-1,1,True,True,True,6762.0,6401.0,7122.0,,,,True,False,False,0.0,,0.0,1.88
73,1,0,True,BA.2 + AY.45,80,84,83,4,-1,1,True,True,True,28898.0,28882.0,28914.0,,,,True,False,False,0.0,,0.0,1.96
74,1,0,True,BA.2 + AY.45,16,84,83,68,-1,1,True,True,True,10446.0,10446.0,10447.0,,,,True,False,False,0.0,,0.0,1.96
75,1,0,True,BA.2 + AY.45,77,84,83,7,-1,1,True,True,True,28670.0,28460.0,28879.0,,,,True,False,False,0.0,,0.0,1.99
76,1,0,True,BA.2 + AY.45,74,84,83,10,-1,1,True,True,True,28071.0,27873.0,28269.0,,,,True,False,False,0.0,,0.0,1.99
77,1,0,True,BA.2 + AY.45,31,84,83,53,-1,1,True,True,True,22092.0,21986.0,22198.0,,,,True,False,False,0.0,,0.0,1.95
78,1,0,True,BA.2 + AY.45,20,84,83,64,-1,1,True,True,True,13344.0,12879.0,13810.0,,,,True,False,False,0.0,,0.0,1.98
79,1,0,True,BA.2 + AY.45,10,84,83,74,-1,1,True,True,True,9197.0,9052.0,9342.0,,,,True,False,False,0.0,,0.0,1.98
80,1,0,True,BA.2 + AY.45,41,84,83,43,-1,1,True,True,True,22898.0,22881.0,22915.0,,,,True,False,False,0.0,,0.0,1.99
81,1,0,True,BA.2 + AY.45,52,84,83,32,-1,1,True,True,True,23900.0,23853.0,23946.0,,,,True,False,False,0.0,,0.0,1.97
82,1,0,True,BA.2 + AY.45,51,84,83,33,-1,1,True,True,True,23728.0,23603.0,23852.0,,,,True,False,False,0.0,,0.0,2.03
83,1,0,True,BA.2 + AY.45,74,84,83,10,-1,1,True,True,True,28071.0,27873.0,28269.0,,,,True,False,False,0.0,,0.0,1.97
84,1,0,True,BA.2 + AY.45,43,84,83,41,-1,1,True,True,True,23001.0,22991.0,23011.0,,,,True,False,False,0.0,,0.0,2.05
85,1,0,True,BA.2 + AY.45,66,84,83,18,-1,1,True,True,True,27057.0,26857.0,27257.0,,,,True,False,False,0.0,,0.0,2.01
86,1,0,True,BA.2 + AY.45,8,84,83,76,-1,1,True,True,True,8054.0,7123.0,8984.0,,,,True,False,False,0.0,,0.0,1.94
87,1,0,True,BA.2 + AY.45,63,84,83,21,-1,1,True,True,True,26642.0,26576.0,26707.0,,,,True,False,False,0.0,,0.0,1.97
88,1,0,True,BA.2 + AY.45,50,84,83,34,-1,1,True,True,True,23600.0,23598.0,23602.0,,,,True,False,False,0.0,,0.0,1.97
89,1,0,True,BA.2 + AY.45,47,84,83,37,-1,1,True,True,True,23068.0,23062.0,23073.0,,,,True,False,False,0.0,,0.0,1.95
90,1,0,True,BA.2 + AY.45,29,84,83,55,-1,1,True,True,True,20835.0,20054.0,21616.0,,,,True,False,False,0.0,,0.0,1.98
91,1,0,True,BA.2 + AY.45,31,84,83,53,-1,1,True,True,True,22092.0,21986.0,22198.0,,,,True,False,False,0.0,,0.0,2.0
92,1,0,True,BA.2 + AY.45,48,84,83,36,-1,1,True,True,True,23298.0,23074.0,23523.0,,,,True,False,False,0.0,,0.0,1.98
93,1,0,True,BA.2 + AY.45,76,84,83,8,-1,1,True,True,True,28384.0,28310.0,28459.0,,,,True,False,False,0.0,,0.0,2.01
94,1,0,True,BA.2 + AY.45,21,84,83,63,-1,1,True,True,True,14630.0,13811.0,15449.0,,,,True,False,False,0.0,,0.0,1.96
95,1,0,True,BA.2 + AY.45,15,84,83,69,-1,1,True,True,True,10321.0,10197.0,10445.0,,,,True,False,False,0.0,,0.0,1.98
96,1,0,True,BA.2 + AY.45,62,84,83,22,-1,1,True,True,True,26422.0,26269.0,26575.0,,,,True,False,False,0.0,,0.0,1.99
97,1,0,True,BA.2 + AY.45,46,84,83,38,-1,1,True,True,True,23058.0,23054.0,23061.0,,,,True,False,False,0.0,,0.0,2.0
98,1,0,True,BA.2 + AY.45,10,84,83,74,-1,1,True,True,True,9197.0,9052.0,9342.0,,,,True,False,False,0.0,,0.0,1.97
99,1,0,True,BA.2 + AY.45,18,84,83,66,-1,1,True,True,True,11265.0,11200.0,11330.0,,,,True,False,False,0.0,,0.0,1.98
100,1,0,True,BA.2 + AY.45,46,84,83,38,-1,1,True,True,True,23058.0,23054.0,23061.0,,,,True,False,False,0.0,,0.0,2.02
101,1,0,True,BA.2 + AY.45,5,84,83,79,-1,1,True,True,True,4251.0,4183.0,4319.0,,,,True,False,False,0.0,,0.0,1.97
102,1,0,True,BA.2 + AY.45,41,84,83,43,-1,1,True,True,True,22898.0,22881.0,22915.0,,,,True,False,False,0.0,,0.0,1.99
103,1,0,True,BA.2 + AY.45,5,84,83,79,-1,1,True,True,True,4251.0,4183.0,4319.0,,,,True,False,False,0.0,,0.0,1.96
104,1,0,True,BA.2 + AY.45,64,84,83,20,-1,1,True,True,True,26736.0,26708.0,26765.0,,,,True,False,False,0.0,,0.0,2.06
105,1,0,True,BA.2 + AY.45,30,84,83,54,-1,1,True,True,True,21801.0,21617.0,21985.0,,,,True,False,False,0.0,,0.0,2.0
106,1,0,True,BA.2 + AY.45,7,84,83,77,-1,1,True,True,True,6762.0,6401.0,7122.0,,,,True,False,False,0.0,,0.0,1.97
107,1,0,True,BA.2 + AY.45,43,84,83,41,-1,1,True,True,True,23001.0,22991.0,23011.0,,,,True,False,False,0.0,,0.0,1.99
108,1,0,True,BA.2 + AY.45,35,84,83,49,-1,1,True,True,True,22681.0,22678.0,22684.0,,,,True,False,False,0.0,,0.0,1.99
109,1,0,True,BA.2 + AY.45,18,84,83,66,-1,1,True,True,True,11265.0,11200.0,11330.0,,,,True,False,False,0.0,,0.0,1.98
110,1,0,True,BA.2 + AY.45,57,84,83,27,-1,1,True,True,True,25205.0,24999.0,25411.0,,,,True,False,False,0.0,,0.0,1.99
111,1,0,True,BA.2 + AY.45,12,84,83,72,-1,1,True,True,True,9478.0,9423.0,9532.0,,,,True,False,False,0.0,,0.0,1.96
112,1,0,True,BA.2 + AY.45,33,84,83,51,-1,1,True,True,True,22624.0,22577.0,22672.0,,,,True,False,False,0.0,,0.0,1.97
113,1,0,True,BA.2 + AY.45,41,84,83,43,-1,1,True,True,True,22898.0,22881.0,22915.0,,,,True,False,False,0.0,,0.0,1.98
114,1,0,True,BA.2 + AY.45,32,84,83,52,-1,1,True,True,True,22388.0,22199.0,22576.0,,,,True,False,False,0.0,,0.0,1.99
115,1,0,True,BA.2 + AY.45,75,84,83,9,-1,1,True,True,True,28290.0,28270.0,28309.0,,,,True,False,False,0.0,,0.0,2.01
116,1,0,True,BA.2 + AY.45,73,84,83,11,-1,1,True,True,True,27839.0,27806.0,27872.0,,,,True,False,False,0.0,,0.0,2.02
117,1,0,True,BA.2 + AY.45,72,84,83,12,-1,1,True,True,True,27778.0,27751.0,27805.0,,,,True,False,False,0.0,,0.0,2.02
118,1,0,True,BA.2 + AY.45,41,84,83,43,-1,1,True,True,True,22898.0,22881.0,22915.0,,,,True,False,False,0.0,,0.0,2.01
119,1,0,True,BA.2 + AY.45,5,84,83,79,-1,1,True,True,True,4251.0,4183.0,4319.0,,,,True,False,False,0.0,,0.0,2.07
120,1,0,True,BA.2 + AY.45,55,84,83,29,-1,1,True,True,True,24445.0,24423.0,24467.0,,,,True,False,False,0.0,,0.0,2.08
